journal_name,short_name,dict,if2023,if5year,jcr,rank,cas
ABCD-Arquivos Brasileiros de Cirurgia Digestiva-Brazilian Archives of Digestive Surgery,ABCD-ARQ BRAS CIR DI,GASTROENTEROLOGY & HEPATOLOGY,1.9,1.5,Q3,95/143,4
Abdominal Radiology,ABDOM RADIOL,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",2.3,2.6,Q2,85/204,3
ABE Journal,ABE J,ARCHITECTURE,0.2,0.3,N/A,N/A,4
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG,ABH MATH SEM HAMBURG,MATHEMATICS,0.4,0.4,Q4,379/489,4
aBIOTECH,ABIOTECH,PLANT SCIENCES,4.6,4.5,Q1,34/265,2
Aboriginal History,ABORIG HIST,HISTORY,0.4,0.5,Q1,121/518,3
Aboriginal Policy Studies,ABORIG POLICY STUD,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.4,0.6,Q3,183/263,N/A
Abriu-Estudos de Textualidade do Brasil Galicia e Portugal,ABRIU-ESTUD TEXTUAL,"HUMANITIES, MULTIDISCIPLINARY",0.1,0.1,N/A,N/A,4
Academia y Virtualidad,ACAD VIRTUALIDAD,EDUCATION & EDUCATIONAL RESEARCH,0.5,0.4,Q4,579/756,4
Academia-Revista Latinoamericana de Administracion,ACAD-REV LATINOAM AD,MANAGEMENT,1.3,1.5,Q3,297/401,4
ACADEMIC EMERGENCY MEDICINE,ACAD EMERG MED,EMERGENCY MEDICINE,3.4,3.5,Q1,6/54,3
Academic Journal of Modern Philology,ACAD J MOD PHILOL,LANGUAGE & LINGUISTICS,0.1,0.1,N/A,N/A,4
ACADEMIC MEDICINE,ACAD MED,HEALTH CARE SCIENCES & SERVICES,5.3,6.7,Q1,13/174,1
Academic Pathology,ACAD PATHOL,PATHOLOGY,1.2,1.2,Q3,64/88,4
Academic Pediatrics,ACAD PEDIATR,PEDIATRICS,3,3.2,Q1,26/186,3
ACADEMIC PSYCHIATRY,ACAD PSYCHIATR,PSYCHIATRY,2.2,2.5,Q3,141/276,4
ACADEMIC RADIOLOGY,ACAD RADIOL,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",3.8,3.7,Q1,32/204,2
Academy of Management Annals,ACAD MANAG ANN,MANAGEMENT,14.3,25.1,Q1,3/401,1
Academy of Management Discoveries,ACAD MANAG DISCOV,MANAGEMENT,4.3,6.6,Q2,108/401,2
ACADEMY OF MANAGEMENT JOURNAL,ACAD MANAGE J,MANAGEMENT,9.5,13.6,Q1,12/401,1
Academy of Management Learning & Education,ACAD MANAG LEARN EDU,MANAGEMENT,4.8,5.3,Q1,90/401,2
Academy of Management Perspectives,ACAD MANAGE PERSPECT,MANAGEMENT,7.2,9.3,Q1,42/401,2
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,MANAGEMENT,19.3,17.1,Q1,1/401,1
Academy Review,ACAD REV,MANAGEMENT,0.2,N/A,Q4,383/401,4
ACADIENSIS,ACADIENSIS,HISTORY,0.1,0.3,Q3,327/518,4
ACAROLOGIA,ACAROLOGIA,ENTOMOLOGY,0.9,1.1,Q3,75/109,3
Access to Justice in Eastern Europe,ACCESS JUSTICE E EUR,LAW,0.7,0.6,Q2,171/421,4
ACCESS-Access to science business innovation in the digital economy,ACCESS-ACCESS SCI BU,MANAGEMENT,0.8,1.1,Q4,343/401,4
ACCIDENT ANALYSIS AND PREVENTION,ACCIDENT ANAL PREV,TRANSPORTATION,5.7,5.9,Q1,9/57,1
Accion Psicologica,ACCION PSICOL,"PSYCHOLOGY, MULTIDISCIPLINARY",0.4,0.4,Q4,190/218,4
Acciones e Investigaciones Sociales,ACCIONES INVEST SOC,"SOCIAL SCIENCES, INTERDISCIPLINARY",0.5,0.3,Q3,166/263,4
Accountability in Research-Ethics Integrity and Policy,ACCOUNT RES,MEDICAL ETHICS,2.8,3.5,Q1,N/A,2
ACCOUNTING AND BUSINESS RESEARCH,ACCOUNT BUS RES,"BUSINESS, FINANCE",2,2.8,Q2,100/231,4
Accounting and Finance,ACCOUNT FINANC,"BUSINESS, FINANCE",3.1,3.3,Q2,58/231,4
Accounting Auditing & Accountability Journal,ACCOUNT AUDIT ACCOUN,"BUSINESS, FINANCE",4.6,5.7,Q1,29/231,2
Accounting Economics and Law-A Convivium,ACCOUNT ECON LAW,"BUSINESS, FINANCE",0.9,1.2,Q3,169/231,4
Accounting Education,ACCOUNT EDUC,"BUSINESS, FINANCE",2.5,3.5,Q2,77/231,3
Accounting Forum,ACCOUNT FORUM,"BUSINESS, FINANCE",2.8,4,Q2,67/231,3
Accounting Historians Journal,ACCOUNT HIST J,"BUSINESS, FINANCE",1.2,0.8,Q3,151/231,4
Accounting History,ACCOUNT HIST,"BUSINESS, FINANCE",1.7,1.6,Q3,119/231,4
Accounting History Review,ACCOUNT HIST REV,BUSINESS,0.8,1.2,Q4,257/302,4
Accounting Horizons,ACCOUNT HORIZ,"BUSINESS, FINANCE",2.2,3.2,Q2,88/231,3
Accounting in Europe,ACCOUNT EUR,"BUSINESS, FINANCE",4.6,3,Q1,29/231,3
ACCOUNTING ORGANIZATIONS AND SOCIETY,ACCOUNT ORG SOC,"BUSINESS, FINANCE",3.6,5.5,Q1,42/231,2
Accounting Perspectives,ACCOUNT PERSPECT,"BUSINESS, FINANCE",1.6,1.9,Q3,125/231,4
Accounting Research Journal,ACCOUNT RES J,"BUSINESS, FINANCE",2.4,2.3,Q2,81/231,4
ACCOUNTING REVIEW,ACCOUNT REV,"BUSINESS, FINANCE",4.4,6.6,Q1,32/231,2
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,"CHEMISTRY, MULTIDISCIPLINARY",16.4,20.2,Q1,12/230,1
Accounts of Materials Research,ACCOUNTS MATER RES,"MATERIALS SCIENCE, MULTIDISCIPLINARY",14,14.1,Q1,30/438,1
ACCREDITATION AND QUALITY ASSURANCE,ACCREDIT QUAL ASSUR,INSTRUMENTS & INSTRUMENTATION,0.8,0.7,Q4,69/76,4
ACE-Architecture City and Environment,ACE-ARCHIT CITY ENVI,URBAN STUDIES,0.7,0.6,Q4,60/77,4
ACG Case Reports Journal,ACG CASE REP J,GASTROENTEROLOGY & HEPATOLOGY,0.6,0.7,Q4,131/143,4
ACI MATERIALS JOURNAL,ACI MATER J,"MATERIALS SCIENCE, MULTIDISCIPLINARY",1.9,2,Q3,301/438,4
ACI STRUCTURAL JOURNAL,ACI STRUCT J,"MATERIALS SCIENCE, MULTIDISCIPLINARY",1.3,1.7,Q4,357/438,4
ACM Communications in Computer Algebra,ACM COMMUN COMPUT AL,"MATHEMATICS, APPLIED",0.4,0.3,Q4,294/331,4
ACM COMPUTING SURVEYS,ACM COMPUT SURV,"COMPUTER SCIENCE, THEORY & METHODS",23.8,21.1,Q1,1/143,1
ACM Journal of Data and Information Quality,ACM J DATA INF QUAL,"COMPUTER SCIENCE, INFORMATION SYSTEMS",1.5,2.4,Q3,173/249,4
ACM Journal on Computing and Cultural Heritage,ACM J COMPUT CULT HE,"HUMANITIES, MULTIDISCIPLINARY",2.1,3,N/A,N/A,3
ACM Journal on Emerging Technologies in Computing Systems,ACM J EMERG TECH COM,NANOSCIENCE & NANOTECHNOLOGY,2.1,2.1,Q3,105/140,4
ACM SIGCOMM Computer Communication Review,ACM SIGCOMM COMP COM,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.2,2,Q3,138/249,4
ACM SIGecom Exchanges,ACM SIGECOM EXCH,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",0.6,0.5,Q4,156/169,4
ACM Transactions on Accessible Computing,ACM T ACCESS COMPUT,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",2.5,3,Q3,87/169,2
ACM Transactions on Algorithms,ACM T ALGORITHMS,"MATHEMATICS, APPLIED",0.9,1.4,Q3,200/331,3
ACM Transactions on Applied Perception,ACM T APPL PERCEPT,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1.9,2.2,Q3,71/131,3
ACM Transactions on Architecture and Code Optimization,ACM T ARCHIT CODE OP,"COMPUTER SCIENCE, THEORY & METHODS",1.5,1.5,Q2,71/143,3
ACM Transactions on Asian and Low-Resource Language Information Processing,ACM T ASIAN LOW-RESO,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",1.8,1.7,Q3,136/197,4
ACM Transactions on Autonomous and Adaptive Systems,ACM T AUTON ADAP SYS,"COMPUTER SCIENCE, THEORY & METHODS",2.2,1.6,Q2,56/143,4
ACM Transactions on Computation Theory,ACM T COMPUT THEORY,"COMPUTER SCIENCE, THEORY & METHODS",0.8,0.8,Q3,102/143,4
ACM Transactions on Computational Logic,ACM T COMPUT LOG,LOGIC,0.7,0.8,Q1,N/A,4
ACM TRANSACTIONS ON COMPUTER SYSTEMS,ACM T COMPUT SYST,"COMPUTER SCIENCE, THEORY & METHODS",2,2.6,Q2,57/143,4
ACM Transactions on Computer-Human Interaction,ACM T COMPUT-HUM INT,"COMPUTER SCIENCE, INFORMATION SYSTEMS",4.8,6,Q1,46/249,1
ACM Transactions on Computing Education,ACM T COMPUT EDUC,"EDUCATION, SCIENTIFIC DISCIPLINES",3.2,3.9,Q1,15/85,3
ACM Transactions on Cyber-Physical Systems,ACM TRANS CYBER-PHYS,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",2,2.2,Q3,105/169,4
ACM TRANSACTIONS ON DATABASE SYSTEMS,ACM T DATABASE SYST,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",2.2,2.4,Q2,59/131,2
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,ACM T DES AUTOMAT EL,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",2.2,1.7,Q2,59/131,4
ACM Transactions on Economics and Computation,ACM T ECON COMPUT,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1.1,1.6,Q4,140/169,4
ACM Transactions on Embedded Computing Systems,ACM T EMBED COMPUT S,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",2.8,2.3,Q2,41/131,3
ACM TRANSACTIONS ON GRAPHICS,ACM T GRAPHIC,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",7.8,9.5,Q1,5/131,1
ACM Transactions on Human-Robot Interaction,ACM T HUM-ROBOT INTE,ROBOTICS,4.2,4.9,Q2,14/46,2
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,"COMPUTER SCIENCE, INFORMATION SYSTEMS",5.4,6,Q1,37/249,2
ACM Transactions on Intelligent Systems and Technology,ACM T INTEL SYST TEC,"COMPUTER SCIENCE, INFORMATION SYSTEMS",7.2,8.5,Q1,18/249,3
ACM Transactions on Interactive Intelligent Systems,ACM T INTERACT INTEL,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",3.6,3.8,Q2,72/197,4
ACM Transactions on Internet of Things,ACM T INTERNET THING,TELECOMMUNICATIONS,3.5,3.1,Q2,45/119,3
ACM Transactions on Internet Technology,ACM T INTERNET TECHN,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",3.9,3.6,Q1,24/131,3
ACM Transactions on Knowledge Discovery from Data,ACM T KNOWL DISCOV D,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",4,3.9,Q1,21/131,3
ACM Transactions on Management Information Systems,ACM TRANS MANAG INF,"COMPUTER SCIENCE, INFORMATION SYSTEMS",2.5,3.1,Q2,119/249,4
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM T MATH SOFTWARE,"MATHEMATICS, APPLIED",2.7,2.8,Q1,25/331,2
ACM Transactions on Modeling and Computer Simulation,ACM T MODEL COMPUT S,"MATHEMATICS, APPLIED",0.7,1,Q3,236/331,4
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,ACM TRANS MODELING P,"COMPUTER SCIENCE, INFORMATION SYSTEMS",0.7,1,Q4,212/249,4
ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,"COMPUTER SCIENCE, THEORY & METHODS",5.2,4.9,Q1,18/143,3
ACM Transactions on Parallel Computing,ACM TRANS PARALLEL C,"COMPUTER SCIENCE, THEORY & METHODS",0.9,1.6,Q3,93/143,4
ACM Transactions on Privacy and Security,ACM T PRIV SECUR,"COMPUTER SCIENCE, INFORMATION SYSTEMS",3,3.4,Q2,95/249,3
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,ACM T PROGR LANG SYS,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",1.5,1.8,Q3,82/131,2
ACM Transactions on Quantum Computing,ACM T QUANTUM COMPUT,QUANTUM SCIENCE & TECHNOLOGY,3.7,4.2,Q2,N/A,3
ACM Transactions on Reconfigurable Technology and Systems,ACM T RECONFIG TECHN,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",3.1,3.7,Q2,19/59,3
ACM Transactions on Sensor Networks,ACM T SENSOR NETWORK,TELECOMMUNICATIONS,3.9,3.4,Q2,38/119,4
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,ACM T SOFTW ENG METH,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",6.6,6.6,Q1,8/131,1
ACM Transactions on Spatial Algorithms and Systems,ACM TRANS SPAT ALGOR,REMOTE SENSING,1.2,1.8,Q4,47/62,4
ACM Transactions on Storage,ACM T STORAGE,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",2.1,2,Q2,64/131,3
ACM Transactions on the Web,ACM T WEB,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",2.6,2.8,Q2,49/131,4
ACME-Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano,ACME-ANN FAC STUDI U,"HUMANITIES, MULTIDISCIPLINARY",<0.1,<0.1,N/A,N/A,4
ACOUSTICAL PHYSICS,ACOUST PHYS+,ACOUSTICS,0.9,0.9,Q4,32/40,4
Acoustical Science and Technology,ACOUST SCI TECHNOL,ACOUSTICS,0.6,0.7,Q4,36/40,4
Acoustics,ACOUSTICS-BASEL,ACOUSTICS,1.3,1.9,Q3,23/40,4
Acoustics Australia,ACOUST AUST,ACOUSTICS,1.9,1.7,Q2,17/40,4
Acque Sotterranee-Italian Journal of Groundwater,ACQUE SOTTER,WATER RESOURCES,0.8,0.7,Q4,116/127,4
ACR Open Rheumatology,ACR OPEN RHEUMATOL,RHEUMATOLOGY,2.9,N/A,Q2,20/57,3
Across Languages and Cultures,ACROSS LANG CULT,LINGUISTICS,1,1.1,Q2,129/297,1
ACS Agricultural Science & Technology,ACS AGR SCI TECHNOL,"CHEMISTRY, APPLIED",2.3,2.3,Q2,35/74,4
ACS Applied Bio Materials,ACS APPL BIO MATER,NANOSCIENCE & NANOTECHNOLOGY,4.6,4.4,Q2,59/140,3
ACS Applied Electronic Materials,ACS APPL ELECTRON MA,"MATERIALS SCIENCE, MULTIDISCIPLINARY",4.3,4.4,Q2,151/438,3
ACS Applied Energy Materials,ACS APPL ENERG MATER,"MATERIALS SCIENCE, MULTIDISCIPLINARY",5.4,5.9,Q2,118/438,3
ACS Applied Materials & Interfaces,ACS APPL MATER INTER,NANOSCIENCE & NANOTECHNOLOGY,8.3,8.7,Q1,28/140,2
ACS Applied Nano Materials,ACS APPL NANO MATER,NANOSCIENCE & NANOTECHNOLOGY,5.3,5.4,Q2,46/140,3
ACS Applied Polymer Materials,ACS APPL POLYM MATER,POLYMER SCIENCE,4.4,4.7,Q1,23/94,2
ACS Bio & Med Chem Au,ACS BIO MED CHEM AU,"CHEMISTRY, MEDICINAL",3.8,3.8,Q2,28/72,4
ACS Biomaterials Science & Engineering,ACS BIOMATER SCI ENG,"MATERIALS SCIENCE, BIOMATERIALS",5.4,5.4,Q2,15/53,3
ACS Catalysis,ACS CATAL,"CHEMISTRY, PHYSICAL",11.3,12.6,Q1,23/178,1
ACS Central Science,ACS CENTRAL SCI,"CHEMISTRY, MULTIDISCIPLINARY",12.7,15.8,Q1,24/230,1
ACS Chemical Biology,ACS CHEM BIOL,BIOCHEMISTRY & MOLECULAR BIOLOGY,3.5,3.9,Q2,134/313,2
ACS Chemical Health & Safety,ACS CHEM HEALTH SAFE,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",2.9,2.7,Q2,128/403,4
ACS Chemical Neuroscience,ACS CHEM NEUROSCI,NEUROSCIENCES,4.1,4.3,Q2,80/310,3
ACS Earth and Space Chemistry,ACS EARTH SPACE CHEM,GEOCHEMISTRY & GEOPHYSICS,2.9,3.1,Q2,26/101,3
ACS Energy Letters,ACS ENERGY LETT,NANOSCIENCE & NANOTECHNOLOGY,19.3,20.8,Q1,7/140,1
ACS Engineering Au,ACS ENG AU,"ENGINEERING, CHEMICAL",4.3,4.3,Q2,46/170,3
ACS Environmental Au,ACS ENVIRON AU,ENVIRONMENTAL SCIENCES,6.7,6.7,Q1,44/358,2
ACS ES&T Engineering,ACS EST ENG,"ENGINEERING, ENVIRONMENTAL",7.4,7.4,Q1,11/81,3
ACS ES&T Water,ACS EST WATER,WATER RESOURCES,4.8,4.8,Q1,14/127,3
ACS Food Science & Technology,ACS FOOD SCI TECHNOL,FOOD SCIENCE & TECHNOLOGY,2.6,2.6,Q2,85/173,4
ACS Infectious Diseases,ACS INFECT DIS,INFECTIOUS DISEASES,4,4.3,Q1,30/132,2
ACS Macro Letters,ACS MACRO LETT,POLYMER SCIENCE,5.1,5.7,Q1,12/94,1
ACS Materials Au,ACS MATER AU,"MATERIALS SCIENCE, MULTIDISCIPLINARY",5.7,5.7,Q2,111/438,3
ACS Materials Letters,ACS MATER LETT,"MATERIALS SCIENCE, MULTIDISCIPLINARY",9.6,10.2,Q1,55/438,2
ACS Measurement Science Au,ACS MEAS SCI AU,"CHEMISTRY, ANALYTICAL",4.6,4.6,Q1,21/106,2
ACS Medicinal Chemistry Letters,ACS MED CHEM LETT,"CHEMISTRY, MEDICINAL",3.5,3.9,Q2,32/72,3
ACS Nano,ACS NANO,NANOSCIENCE & NANOTECHNOLOGY,15.8,16.2,Q1,11/140,1
ACS Nanoscience Au,ACS NANOSCI AU,NANOSCIENCE & NANOTECHNOLOGY,4.8,4.8,Q2,52/140,3
ACS Omega,ACS OMEGA,"CHEMISTRY, MULTIDISCIPLINARY",3.7,4,Q2,84/230,3
ACS Organic & Inorganic Au,ACS ORG INORG AU,"CHEMISTRY, MULTIDISCIPLINARY",3.3,3.3,Q2,93/230,3
ACS Pharmacology & Translational Science,ACS PHARMACOL TRANSL,PHARMACOLOGY & PHARMACY,4.9,4.9,Q1,45/354,3
ACS Photonics,ACS PHOTONICS,"PHYSICS, CONDENSED MATTER",6.5,6.6,Q1,16/79,1
ACS Physical Chemistry Au,ACS PHYS CHEM AU,"CHEMISTRY, PHYSICAL",3.7,3.7,Q2,77/178,3
ACS Polymers Au,ACS POLYM AU,POLYMER SCIENCE,4.7,4.7,Q1,18/94,2
ACS Sensors,ACS SENSORS,NANOSCIENCE & NANOTECHNOLOGY,8.2,8.4,Q1,29/140,1
ACS Sustainable Chemistry & Engineering,ACS SUSTAIN CHEM ENG,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,7.1,7.9,Q1,21/91,1
ACS Synthetic Biology,ACS SYNTH BIOL,BIOCHEMICAL RESEARCH METHODS,3.7,4.2,Q1,21/85,2
ACSMS HEALTH & FITNESS JOURNAL,ACSMS HEALTH FIT J,SPORT SCIENCES,1.6,1.5,Q3,67/127,4
ACTA ACUSTICA,ACTA ACUST,ACOUSTICS,1,1.1,Q4,31/40,4
ACTA ADRIATICA,ACTA ADRIAT,OCEANOGRAPHY,1,0.8,Q4,54/65,4
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,ACTA AGR SCAND A-AN,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",0.8,1.1,Q3,56/80,4
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,ACTA AGR SCAND B-S P,SOIL SCIENCE,1.7,2.1,Q4,38/49,4
ACTA AGROBOTANICA,ACTA AGROBOT,PLANT SCIENCES,2.1,1.6,Q2,109/265,3
ACTA ALIMENTARIA,ACTA ALIMENT HUNG,NUTRITION & DIETETICS,0.8,0.9,Q4,94/114,4
ACTA AMAZONICA,ACTA AMAZON,ZOOLOGY,0.7,1,Q4,138/180,4
ACTA ANAESTHESIOLOGICA BELGICA,ACTA ANAESTH BELG,ANESTHESIOLOGY,0.1,0.1,Q4,61/64,4
ACTA ANAESTHESIOLOGICA SCANDINAVICA,ACTA ANAESTH SCAND,ANESTHESIOLOGY,1.9,2.1,Q2,28/64,4
Acta Analytica-International Periodical for Philosophy in the Analytical Tradition,ACTA ANAL,PHILOSOPHY,0.3,0.4,N/A,N/A,3
Acta Angiologica,ACTA ANGIOL,PERIPHERAL VASCULAR DISEASE,0.4,0.3,Q4,88/96,4
ACTA APPLICANDAE MATHEMATICAE,ACTA APPL MATH,"MATHEMATICS, APPLIED",1.2,1.4,Q2,140/331,4
ACTA ARCHAEOLOGICA,ACTA ARCHAEOL-DEN,ARCHAEOLOGY,0.4,0.7,N/A,N/A,3
ACTA ARITHMETICA,ACTA ARITH,MATHEMATICS,0.5,0.5,Q3,325/489,3
ACTA ASTRONAUTICA,ACTA ASTRONAUT,"ENGINEERING, AEROSPACE",3.1,3.1,Q1,9/52,2
ACTA ASTRONOMICA,ACTA ASTRONOM,ASTRONOMY & ASTROPHYSICS,2,1.9,Q2,41/84,4
Acta Balneologica,ACTA BALNEOL,REHABILITATION,0.3,0.2,Q4,164/169,4
Acta Baltico-Slavica,ACTA BALTICO-SLAV,"HUMANITIES, MULTIDISCIPLINARY",<0.1,<0.1,N/A,N/A,4
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,ACTA BIOCH BIOPH SIN,BIOPHYSICS,3.3,3.4,Q1,19/77,2
ACTA BIOCHIMICA POLONICA,ACTA BIOCHIM POL,BIOCHEMISTRY & MOLECULAR BIOLOGY,1.4,1.8,Q4,282/313,4
Acta Bioclinica,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acta Bioethica,ACTA BIOETH,"SOCIAL SCIENCES, BIOMEDICAL",0.5,0.5,Q4,44/46,4
ACTA BIOLOGICA COLOMBIANA,ACTA BIOL COLOMB,ZOOLOGY,0.5,0.7,Q4,163/180,4
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,ACTA BIOL CRACOV BOT,PLANT SCIENCES,0.5,0.9,Q4,244/265,4
Acta Biomaterialia,ACTA BIOMATER,"MATERIALS SCIENCE, BIOMATERIALS",9.4,9.9,Q1,5/53,1
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACTA BIOTHEORETICA,ACTA BIOTHEOR,MATHEMATICAL & COMPUTATIONAL BIOLOGY,1.4,1.2,Q4,50/65,3
Acta Borealia,ACTA BOREAL,"HUMANITIES, MULTIDISCIPLINARY",0.8,1,N/A,N/A,4
Acta Botanica Brasilica,ACTA BOT BRAS,PLANT SCIENCES,0.9,1.3,Q4,207/265,4
ACTA BOTANICA CROATICA,ACTA BOT CROAT,PLANT SCIENCES,1.1,1.2,Q3,183/265,4
Acta Botanica Mexicana,ACTA BOT MEX,PLANT SCIENCES,0.7,0.9,Q4,224/265,4
Acta Brasiliensis,ACTA BRAS,"AGRICULTURE, MULTIDISCIPLINARY",0.2,0.3,Q4,82/89,4
ACTA CARDIOLOGICA,ACTA CARDIOL,CARDIAC & CARDIOVASCULAR SYSTEMS,2.1,1.7,Q3,113/220,4
Acta Cardiologica Sinica,ACTA CARDIOL SIN,CARDIAC & CARDIOVASCULAR SYSTEMS,1.8,1.7,Q3,128/220,4
ACTA CARSOLOGICA,ACTA CARSOLOGICA,"GEOSCIENCES, MULTIDISCIPLINARY",1,1.1,Q4,196/253,4
Acta Chemica Iasi,ACTA CHEM IASI,"CHEMISTRY, MULTIDISCIPLINARY",0.4,0.6,Q4,214/230,4
ACTA CHIMICA SINICA,ACTA CHIM SINICA,"CHEMISTRY, MULTIDISCIPLINARY",1.7,1.5,Q3,146/230,2
Acta Chimica Slovaca,ACTA CHIM SLOVACA,"CHEMISTRY, MULTIDISCIPLINARY",0.9,0.9,Q4,184/230,4
ACTA CHIMICA SLOVENICA,ACTA CHIM SLOV,"CHEMISTRY, MULTIDISCIPLINARY",1.2,1.3,Q3,165/230,4
ACTA CHIROPTEROLOGICA,ACTA CHIROPTEROL,ZOOLOGY,0.7,1,Q4,138/180,4
